C (g/200ml),I
0.0,10799792.639450938
0.0,10765065.601096623
0.0,10709219.885864029
0.0,10794082.605683487
0.0,10748531.8747403
2.5,8737585.197348014
2.5,8741723.209272634
2.5,8748127.224346055
2.5,8721948.35357232
2.5,8554949.853377806
5.0,9543689.798308043
5.0,9643535.268697457
5.0,9495080.252991393
5.0,9350937.003171071
5.0,9237531.805042095
10.0,10914790.611650448
10.0,10710438.27934913
10.0,10754389.623103252
10.0,10719746.089106124
10.0,10657246.299529076
25.0,14505415.46403533
25.0,14256747.879243169
25.0,14118166.619622089
25.0,14105523.792355526
25.0,14047939.954598699
